shipment_order_no,origin_sub_district_id,destination_sub_district_id,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,min_sla_api,max_sla_api
TRD2022123005001,87275,31593,Rintis,28155,Meral Kota,29664,6,7,REG23,,
TRD2022123005199,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2022123105177,85513,32988,Kerobokan Kelod,80117,Sarotari,86219,2,3,REG23,,
TRD2022123105631,88124,79216,A M P L A S,20148,Sipange Julu,22774,1,3,REG23,,
TRD2023010207552,85513,32988,Kerobokan Kelod,80117,Sarotari,86219,2,3,REG23,,
TRD2023010207704,88124,60888,A M P L A S,20148,Neusu Aceh,23244,2,3,REG23,,
TRD2023010209260,49964,85740,Grogol,11450,Talang Banjar,36123,1,2,REG23,,
TRD2023010306243,87275,31593,Rintis,28155,Meral Kota,29664,6,7,REG23,,
TRD2023010307168,85513,14485,Kerobokan Kelod,80117,Ngalukoja,86381,5,6,REG23,,
TRD2023010307538,2758,7597,Pekayon Jaya,17148,Melasu Baru,77482,5,7,REG23,,
TRD2023010307671,2758,14315,Pekayon Jaya,17148,Datar Ruyung,38617,2,3,REG23,,
TRD2023010404601,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023010405992,49964,84537,Grogol,11450,Kladufu,98418,2,4,REG23,,
TRD2023010409075,2758,84537,Pekayon Jaya,17148,Kladufu,98418,2,4,REG23,,
TRD2023010504765,85513,32988,Kerobokan Kelod,80117,Sarotari,86219,2,3,REG23,,
TRD2023010505308,87275,31593,Rintis,28155,Meral Kota,29664,6,7,REG23,,
TRD2023010509241,2046,64416,Bunigeulis,45556,Ardipura,99223,2,4,REG23,,
TRD2023010603847,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2023010603927,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2023010603948,85513,32988,Kerobokan Kelod,80117,Sarotari,86219,2,3,REG23,,
TRD2023010604373,85860,60814,Sukodadi,30154,Bakauheni,35592,2,3,REG23,,
TRD2023010705430,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2023010705451,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023010705463,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023010705512,88124,18337,A M P L A S,20148,Simarancar,22765,1,3,REG23,,
TRD2023010705762,85860,85109,Sukodadi,30154,Padang Mulia,33681,2,3,REG23,,
TRD2023010706160,2758,65988,Pekayon Jaya,17148,Klademak,98416,2,4,REG23,,
TRD2023010707102,2046,84885,Bunigeulis,45556,Tegal Harum,80361,1,2,REG23,,
TRD2023010906561,85513,5106,Kerobokan Kelod,80117,Mataram Timur,83121,1,2,REG23,,
TRD2023010906594,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023010906681,85513,37458,Kerobokan Kelod,80117,Mbongawani,86313,5,6,REG23,,
TRD2023010907294,87275,31593,Rintis,28155,Meral Kota,29664,6,7,REG23,,
TRD2023010909442,2758,47729,Pekayon Jaya,17148,Penkase Oeleta,85231,2,3,REG23,,
TRD2023010909986,2758,47729,Pekayon Jaya,17148,Penkase Oeleta,85231,2,3,REG23,,
TRD2023010910272,2046,65988,Bunigeulis,45556,Klademak,98416,2,4,REG23,,
TRD2023010912360,2758,84885,Pekayon Jaya,17148,Tegal Harum,80361,1,2,REG23,,
TRD2023011003352,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2023011003371,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023011003840,87275,31593,Rintis,28155,Meral Kota,29664,6,7,REG23,,
TRD2023011006078,2758,84885,Pekayon Jaya,17148,Tegal Harum,80361,1,2,REG23,,
TRD2023011104754,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023011104757,85513,68149,Kerobokan Kelod,80117,Hewuli,86115,5,6,REG23,,
TRD2023011104761,85513,55949,Kerobokan Kelod,80117,Aeramo,86472,2,3,REG23,,
TRD2023011204968,2758,23951,Pekayon Jaya,17148,Mekar Baru,78391,1,2,REG23,,
TRD2023011403853,2758,36519,Pekayon Jaya,17148,Carebbu,92776,5,7,REG23,,
TRD2023011403906,85513,37143,Kerobokan Kelod,80117,Liselande,86111,10,1,REG23,,
TRD2023011605919,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2023011605937,85513,4536,Kerobokan Kelod,80117,Wangkung,86592,5,6,REG23,,
TRD2023011611349,49964,23805,Grogol,11450,Hambawa,22851,2,3,REG23,,
TRD2023011611366,49964,78915,Grogol,11450,Tri Manunggal,28464,2,3,REG23,,
TRD2023011612474,2758,47729,Pekayon Jaya,17148,Penkase Oeleta,85231,2,3,REG23,,
TRD2023011612557,2758,12651,Pekayon Jaya,17148,Faobata,86419,3,5,REG23,,
TRD2023011703745,85513,33741,Kerobokan Kelod,80117,Lepolima,86116,5,6,REG23,,
TRD2023011704028,2758,78915,Pekayon Jaya,17148,Tri Manunggal,28464,2,3,REG23,,
