No,originDistrictName,originCityName,originProvince,originPostalCode,originLat,originLong,destDistrictName,destinationCityName,destProvince,destinationPostalCode,destinationLat,destinationLong
7164,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Wartutin,Fakfak,Papua Barat,98661,0,0
7165,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Aere,Kolaka Timur,Sulawesi Tenggara,93573,0,0
7166,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Nikogwe,Lanny Jaya,Papua,99567,0,0
7167,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Wiringgambut,Lanny Jaya,Papua,99567,0,0
7168,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Yiluk,Lanny Jaya,Papua,99556,0,0
7169,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Demba,Waropen,Papua,98263,0,0
7170,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Tomosiga,Intan Jaya,Papua,98783,0,0
7171,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ugimba,Intan Jaya,Papua,98769,0,0
7172,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Awina,Lanny Jaya,Papua,99567,0,0
7173,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ayumnati,Lanny Jaya,Papua,99567,0,0
7174,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bruwa,Lanny Jaya,Papua,99563,0,0
7175,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Buguk Gona,Lanny Jaya,Papua,99567,0,0
7176,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Goa Balim,Lanny Jaya,Papua,99563,0,0
7177,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Gollo,Lanny Jaya,Papua,99567,0,0
7178,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Guna,Lanny Jaya,Papua,99556,0,0
7179,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Karu,Lanny Jaya,Papua,99556,0,0
7180,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kelulome,Lanny Jaya,Papua,99567,0,0
7181,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kolawa,Lanny Jaya,Papua,99555,0,0
7182,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kuly Lanny,Lanny Jaya,Papua,99555,0,0
7183,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Lannyna,Lanny Jaya,Papua,99567,0,0
7184,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Amar,Mimika,Papua,99973,0,0
7185,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Iwaka,Mimika,Papua,99968,0,0
7186,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Sosa Timur,Padang Lawas,Sumatera Utara,22742,0,0
7187,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Luahagundrehe Manimolo,Nias Selatan,Sumatera Utara,22868,0,0
7188,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Labuhan Ratu,Bandar Lampung,Lampung,35149,0,0
7189,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Way Ratai,Pesawaran,Lampung,35455,0,0
7190,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Paal Merah,Jambi,Jambi,36139,0,0
7191,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Curug,"Tangerang, Kab.",Banten,15810,0,0
7192,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Marga Sakti Sebelat,Bengkulu Utara,Bengkulu,38326,0,0
7193,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Lubai Ulu,Muara Enim,Sumatera Selatan,31174,0,0
7194,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kranggan,"Mojokerto, Kota",Jawa Timur,61311,0,0
