created_at,shipment_order_no,awb_number,status,logistic_id,dispatch_at,delivered_at,in_process_return,return_at
2023-07-03 11:54:58,TRD2023070304075,IDE704274098179,500,24,1688414102,1688551288,0,0
2023-07-03 11:54:58,TRD2023070304315,IDE704260966874,501,24,1688414098,0,0,0
2023-07-03 11:54:58,TRD2023070304101,IDE704225866040,400,24,1688414115,0,0,0
2023-07-03 11:54:58,TRD2023070304086,IDE700033684726,400,24,1688414907,0,0,0
2023-07-03 11:54:58,TRD2023070304064,IDE703677594665,400,24,1688414129,0,0,0
2023-07-03 11:54:58,TRD2023070304339,IDE704185026937,400,24,1688414117,0,0,0
2023-07-03 11:54:58,TRD2023070304350,IDE700173794678,400,24,1688414098,0,0,0
2023-07-03 11:54:58,TRD2023070304212,IDE703834295535,501,24,1688414112,0,0,0
2023-07-03 11:54:58,TRD2023070304359,IDE700407841625,500,24,1688414122,1688553018,0,0
2023-07-03 11:54:58,TRD2023070304447,IDE703749240423,400,24,1688414897,0,0,0
2023-07-03 11:54:58,TRD2023070304168,IDE704046303667,500,24,1688414096,1688556942,0,0
2023-07-03 11:54:58,TRD2023070304369,IDE703686413146,400,24,1688414111,0,0,0
2023-07-03 11:54:58,TRD2023070304475,IDE702452531233,400,24,1688414099,0,0,0
2023-07-03 11:54:58,TRD2023070304067,IDE703663101998,400,24,1688414112,0,0,0
2023-07-03 11:54:58,TRD2023070304032,IDE703435081432,400,24,1688414115,0,0,0
2023-07-03 11:54:58,TRD2023070304161,IDE703425547479,500,24,1688414093,1688609698,0,0
2023-07-03 11:54:58,TRD2023070304360,IDE703193974041,400,24,1688414099,0,0,0
2023-07-03 11:54:58,TRD2023070304346,IDE700838906061,602,24,1688414117,0,0,0
2023-07-03 11:54:58,TRD2023070304408,IDE704225806137,400,24,1688414099,0,0,0
2023-07-03 11:54:58,TRD2023070304326,IDE704140293881,400,24,1688414128,0,0,0
2023-07-03 11:54:58,TRD2023070304109,IDE701874672572,400,24,1688414908,0,0,0
2023-07-03 11:54:58,TRD2023070304220,IDE703827441324,400,24,1688414121,0,0,0
2023-07-03 11:54:58,TRD2023070304011,IDE703740067793,400,24,1688414104,0,0,0
2023-07-03 11:54:58,TRD2023070304236,IDE702817758992,501,24,1688414098,0,0,0
2023-07-03 11:54:58,TRD2023070304455,IDE702741270821,400,24,1688414099,0,0,0
2023-07-03 11:54:58,TRD2023070304357,IDE701176136565,500,24,1688414098,1688554580,0,0
2023-07-03 11:54:58,TRD2023070304349,IDE701179443836,400,24,1688414126,0,0,0
2023-07-03 11:54:58,TRD2023070303952,IDE702546150477,400,24,1688414097,0,0,0
2023-07-03 11:54:58,TRD2023070304417,IDE704249279585,400,24,1688506395,0,0,0
2023-07-03 11:54:58,TRD2023070304502,IDE702470611631,602,24,1688414130,0,0,0
2023-07-03 11:54:58,TRD2023070304065,IDE702120406885,501,24,1688414104,0,0,0
2023-07-03 11:54:58,TRD2023070304204,IDE703886004033,500,24,1688506395,1688634102,0,0
2023-07-03 11:54:58,TRD2023070304100,IDE704142135596,400,24,1688414122,0,0,0
2023-07-03 11:54:58,TRD2023070304180,IDE700474596965,400,24,1688414121,0,0,0
2023-07-03 11:54:58,TRD2023070304458,IDE704114990084,500,24,1688414134,1688652326,0,0
2023-07-03 11:54:58,TRD2023070304009,IDE702053990108,602,24,1688414940,0,0,0
2023-07-03 11:54:58,TRD2023070304472,IDE701265831749,400,24,1688506395,0,0,0
2023-07-03 11:54:58,TRD2023070303900,IDE703817353005,501,24,1688414134,0,0,0
2023-07-03 11:54:58,TRD2023070303917,IDE704244913376,400,24,1688415375,0,0,0
2023-07-03 11:54:58,TRD2023070303923,IDE701930637426,400,24,1688414133,0,0,0
2023-07-03 11:54:58,TRD2023070304222,IDE701498239507,501,24,1688414092,0,0,0
2023-07-03 11:54:58,TRD2023070304264,IDE701836424329,400,24,1688414121,0,0,0
2023-07-03 11:54:58,TRD2023070304103,IDE704250452662,400,24,1688414940,0,0,0
2023-07-03 11:54:58,TRD2023070304400,IDE700146804400,400,24,1688414905,0,0,0
2023-07-03 11:54:58,TRD2023070303997,IDE703856253315,602,24,1688414099,0,0,0
2023-07-03 11:54:58,TRD2023070304272,IDE701577879474,400,24,1688414121,0,0,0
2023-07-03 11:54:58,TRD2023070303932,IDE701547188876,400,24,1688414114,0,0,0
2023-07-03 11:54:58,TRD2023070304402,IDE701427622296,500,24,1688414911,1688612877,0,0
2023-07-03 11:54:58,TRD2023070304289,IDE701425845871,400,24,1688414111,0,0,0
2023-07-03 11:54:58,TRD2023070304006,IDE702515865739,400,24,1688414899,0,0,0
2023-07-03 11:54:58,TRD2023070304439,IDE700287334647,400,24,1688414911,0,0,0
2023-07-03 11:54:58,TRD2023070304051,IDE700291497102,400,24,1688414114,0,0,0
2023-07-03 11:54:58,TRD2023070303901,IDE701259616695,500,24,1688414102,1688626935,0,0
2023-07-03 11:54:58,TRD2023070303959,IDE700323283988,501,24,1688414902,0,0,0
2023-07-03 11:54:58,TRD2023070304466,IDE701993859279,400,24,1688414902,0,0,0
2023-07-03 11:54:58,TRD2023070304218,IDE701540233071,400,24,1688414094,0,0,0
2023-07-03 11:54:58,TRD2023070304024,IDE700517203427,602,24,1688414907,0,0,0
2023-07-03 11:54:58,TRD2023070304322,IDE700558371398,400,24,1688414126,0,0,0
2023-07-03 11:54:58,TRD2023070304497,IDE700572369321,400,24,1688414903,0,0,0
2023-07-03 11:54:58,TRD2023070304337,IDE701171595517,501,24,1688414130,0,0,0
2023-07-03 11:54:58,TRD2023070304476,IDE701015674534,501,24,1688414099,0,0,0
2023-07-03 11:54:58,TRD2023070304054,IDE701237098101,400,24,1688414111,0,0,0
2023-07-03 11:54:58,TRD2023070304495,IDE703530454092,400,24,1688506396,0,0,0
2023-07-03 11:54:58,TRD2023070304392,IDE700220269014,500,24,1688414911,1688556636,0,0
2023-07-03 11:54:58,TRD2023070304351,IDE703065529872,400,24,1688414098,0,0,0
2023-07-03 11:54:58,TRD2023070304401,IDE702798630778,400,24,1688414910,0,0,0
2023-07-03 11:54:58,TRD2023070304083,IDE702677564336,400,24,1688414092,0,0,0
