Id,provinceId,Pulau,provinceName,typeLabel,cityName,Daerah,Latitude,Longitude,postalCode,regionWage,population,marketValue,probability
68,14,Kalimantan,Kalimantan Tengah,Kabupaten,Katingan,Kabupaten Katingan,-1.774898,113.487469,74413,3230700,163989,529202592300,0.00173
69,14,Kalimantan,Kalimantan Tengah,Kabupaten,Kotawaringin Barat,Kabupaten Kotawaringin Barat,-2.271321,111.258358,74161,3352982,274935,921505520570,0.00301
70,14,Kalimantan,Kalimantan Tengah,Kabupaten,Kotawaringin Timur,Kabupaten Kotawaringin Timur,-2.04596,112.297125,74361,3265859,436079,1425053196861,0.00466
71,14,Kalimantan,Kalimantan Tengah,Kabupaten,Lamandau,Kabupaten Lamandau,-1.720654,111.361152,74363,3443107,104387,359678163809,0.00118
72,14,Kalimantan,Kalimantan Tengah,Kabupaten,Murung Raya,Kabupaten Murung Raya,-0.285192,114.25504,73911,3488798,113483,395773107634,0.00129
73,14,Kalimantan,Kalimantan Tengah,Kota,Palangka Raya,Kota Palangka Raya,-2.204763,113.924411,73112,3226753,305907,985932392871,0.00322
74,14,Kalimantan,Kalimantan Tengah,Kabupaten,Pulang Pisau,Kabupaten Pulang Pisau,-2.998445,113.948774,74872,3223402,136221,439336597942,0.00144
75,14,Kalimantan,Kalimantan Tengah,Kabupaten,Seruyan,Kabupaten Seruyan,-2.552164,112.581647,74261,3594095,166072,596786251240,0.00195
76,14,Kalimantan,Kalimantan Tengah,Kabupaten,Sukamara,Kabupaten Sukamara,-2.600499,111.220706,74172,3389398,66845,226489155310,0.00074
77,15,Kalimantan,Kalimantan Timur,Kota,Balikpapan,Kota Balikpapan,-1.267638,116.827905,76111,3324273,727665,2416477370145,0.00790
78,15,Kalimantan,Kalimantan Timur,Kabupaten,Berau,Kabupaten Berau,2.652081,117.442193,77311,3675887,272887,1002621936489,0.00328
79,15,Kalimantan,Kalimantan Timur,Kota,Bontang,Kota Bontang,0.12296,117.471188,75311,3419486,186137,636850053382,0.00208
80,15,Kalimantan,Kalimantan Timur,Kabupaten,Kutai Barat,Kabupaten Kutai Barat,0.562174,115.689548,75765,3553038,175610,624018622380,0.00204
